20
(7 ,9 , 142)
(7 ,4 , 240)
(6 ,4 , 9)
(16 ,6 , 89)
(6 ,3 , 380)
(13 ,6 , 269)
(15 ,16 , 226)
(2 ,9 , 302)
(4 ,11 , 50)
(19 ,4 , 300)
(4 ,1 , 260)
(14 ,9 , 328)
(4 ,14 , 255)
(1 ,17 , 80)
(1 ,9 , 228)
(5 ,11 , 34)
(9 ,17 , 382)
(9 ,19 , 45)
(3 ,4 , 394)
(10 ,11 , 244)
(13 ,7 , 130)
(11 ,14 , 203)
(2 ,12 , 32)
(14 ,8 , 56)
(2 ,15 , 100)
(8 ,0 , 312)
(6 ,17 , 254)
(9 ,18 , 211)
(18 ,2 , 372)
(0 ,3 , 233)
(6 ,5 , 386)
(8 ,5 , 392)
(15 ,0 , 298)
(3 ,18 , 389)
(11 ,16 , 353)
(5 ,9 , 60)
(14 ,15 , 351)
(1 ,14 , 317)
(11 ,3 , 367)
(9 ,11 , 198)
(8 ,10 , 54)
(19 ,0 , 349)
(10 ,2 , 135)
(13 ,15 , 26)
(10 ,18 , 133)
(18 ,15 , 221)
(16 ,1 , 279)
(9 ,3 , 291)
(13 ,16 , 91)
(4 ,18 , 137)
(13 ,2 , 118)
(12 ,8 , 397)
(12 ,19 , 313)
(2 ,17 , 62)
(11 ,13 , 157)
(0 ,10 , 332)
(12 ,11 , 14)
(10 ,16 , 97)
(19 ,5 , 309)
(3 ,19 , 338)
(18 ,1 , 212)
(0 ,1 , 92)
